full_name;gender
Liselott Blixt;1
Liv Holm Andersen;1
Lone Dybkjær;1
Lone Loklindt;1
Lone Møller;1
Lotte Rod;1
Louise Schack Elholm;1
Lykke Friis;1
Mads Fuglede;0
Mads Rørvig;0
Magni Arge;0
Magnus Heunicke;0
Mai Henriksen;1
Mai Mercado;1
Mai Villadsen;1
Maja Panduro;1
Malene Søgaard-Andersen;1
Malou Lunderød;1
Malou Aamund;1
Malte Larsen;0
Manu Sareen;1
Marcus Knuth;0
Margrethe Vestager;1
Maria Reumert Gjerding;1
Marianne Bredal;1
Marianne Jelved;1
Marie Bjerre;1
Marie Krarup;1
Marion Pedersen;1
Marlene Ambo-Rasmussen;1
Marlene B. Lorentzen;1
Marlene Borst Hansen;1
Marlene Harpsøe;1
Martin Geertsen;0
Martin Henriksen;0
Martin Lidegaard;0
Mattias Tesfaye;0
May-Britt Kattrup;1
Merete Dea Larsen;1
Merete Riisager;1
Merete Scheelsbeck;1
Meta Fuglsang;1
Mette Abildgaard;1
Mette Bock;1
Mette Boye;1
Mette Frederiksen;1
Mette Gjerskov;1
Mette Hjermind Dencker;1
Mette Reissmann;1
Mette Thiesen;1
Michael Aastrup Jensen;0
Mie Bergmann;1
Mike Legarth;0
Mikkel Dencker;0
Mira Issa Bloch;1
Mogens Jensen;0
Mogens Lykketoft;0
Mona Juul;1
Morten Bødskov;0
Morten Dahlin;0
Morten Løkkegaard;0
Morten Marinus;0
Morten Messerschmidt;0
Morten Østergaard;1
Nadeem Farooq;0
Nanna Westerby;1
Naser Khader;0
Nick Hækkerup;0
Nick Nielsen;0
Nicolai Wammen;0
Niels Flemming Hansen;0
Niels Helveg Petersen;0
Niels Høiby;0
Niels Sindal;0
Nikolaj Amstrup;0
Nikolaj Villumsen;0
Nils Sjøberg;0
Ole Birk Olesen;0
Ole Hækkerup;0
Ole Sohn;0
Ole Vagn Christensen;0
Orla Hav;0
Orla Østerby;0
Peder Christensen;0
Peder Hvelplund;0
Pelle Dragsted;0
Per Bisgaard;0
Per Clausen;0
Per Dalgaard;0
Per Husted;0
Per Larsen;0
Per Løkken;0
Per Nørhave;0
Per Stig Møller;0
Per Ørum Jørgensen;0
Pernille Bendixen;1
Pernille Boye Koch;1
Pernille Frahm;1
Pernille Rosenkrantz-Theil;1
